incident_id,date,time,operator_name,machine_id,severity,operator_badge,comment,shift,type_surchauffe,type_baisse_pression,type_vibration,type_bruit_mecanique,type_surconsommation,type_blocage_mecanique,type_alarme_capteur,type_arret_urgence,type_defaut_qualite
INC-000024,2025-06-12,18:45,Sophie Leclerc,MACH-01,3,OP1006,oscillations hors tolérance,apres-midi,0,0,1,0,0,0,0,0,0
INC-000025,2025-06-13,04:17,Sophie Leclerc,MACH-06,3,OP1006,défaut capteur confirmé,nuit,0,0,0,0,0,0,1,0,0
INC-000026,2025-06-13,09:48,Antoine Moreau,MACH-13,3,OP1007,pression en dessous seuil critique,matin,0,1,0,0,0,0,0,0,0
INC-000027,2025-06-13,09:49,Lucas Bernard,MACH-13,3,OP1002,micro-fuite détectée — chute pression,matin,0,1,0,0,0,0,0,0,0
INC-000028,2025-06-13,11:02,Pierre Martin,MACH-01,3,OP1003,vibration anormale roulement,matin,0,0,1,0,0,0,0,0,0
INC-000029,2025-06-13,11:15,Hugo Thomas,MACH-01,3,OP1004,vibration anormale roulement,matin,0,0,1,0,0,0,0,0,0
INC-000030,2025-06-13,13:44,Antoine Moreau,MACH-12,2,OP1007,balourd rotor confirmé,matin,0,0,1,0,0,0,0,0,0
INC-000031,2025-06-13,18:38,Jules Moreau,MACH-01,4,OP1010,vibration excessive,apres-midi,0,0,1,0,0,0,0,0,0
INC-000032,2025-06-13,20:54,Pierre Martin,MACH-06,2,OP1003,pression en dessous seuil critique,apres-midi,0,1,0,0,0,0,0,0,0
INC-000033,2025-06-14,01:07,Sophie Leclerc,MACH-05,2,OP1006,défaut capteur confirmé,nuit,0,0,0,0,0,0,1,0,0
INC-000034,2025-06-14,01:43,Lucas Bernard,MACH-05,2,OP1002,perte intermittente signal mesure,nuit,0,0,0,0,0,0,1,0,0
INC-000035,2025-06-14,04:17,Sarah Leroy,MACH-06,4,OP1009,alarme capteur,nuit,0,0,0,0,0,0,1,0,0
INC-000036,2025-06-14,09:48,Nathan Richard,MACH-13,4,OP1006,baisse pression hydraulique,matin,0,1,0,0,0,0,0,0,0
INC-000037,2025-06-14,11:15,Sarah Leroy,MACH-01,4,OP1009,vibration excessive,matin,0,0,1,0,0,0,0,0,0
INC-000038,2025-06-14,13:44,Marie Dupont,MACH-12,3,OP1001,vibration anormale roulement,matin,0,0,1,0,0,0,0,0,0
INC-000039,2025-06-14,20:46,Hugo Thomas,MACH-13,3,OP1004,non-conformité dimensionnelle,apres-midi,0,0,0,0,0,0,0,0,1
INC-000040,2025-06-14,20:54,Marie Dupont,MACH-06,3,OP1001,baisse pression hydraulique,apres-midi,0,1,0,0,0,0,0,0,0
INC-000041,2025-06-14,21:14,Chloé Robert,MACH-14,2,OP1005,chauffe anormale,apres-midi,1,0,0,0,0,0,0,0,0
INC-000042,2025-06-14,21:27,Sarah Leroy,MACH-04,3,OP1009,alarme capteur,apres-midi,0,0,0,0,0,0,1,0,0
INC-000043,2025-06-15,00:07,Antoine Moreau,MACH-01,2,OP1007,alerte température haute,nuit,1,0,0,0,0,0,0,0,0
INC-000044,2025-06-15,01:31,Sophie Leclerc,MACH-05,3,OP1006,défaut capteur confirmé,nuit,0,0,0,0,0,0,1,0,0
INC-000045,2025-06-15,01:43,Julie Petit,MACH-05,3,OP1008,alarme capteur active,nuit,0,0,0,0,0,0,1,0,0
INC-000046,2025-06-15,13:44,Camille Martin,MACH-12,4,OP1001,vibration excessive,matin,0,0,1,0,0,0,0,0,0
INC-000047,2025-06-15,14:35,Nathan Richard,MACH-15,2,OP1006,bruit mécanique anormal,apres-midi,0,0,0,1,0,0,0,0,0
INC-000048,2025-06-15,20:54,Emma Dubois,MACH-06,4,OP1003,micro-fuite / baisse pression,apres-midi,0,1,0,0,0,0,0,0,0
INC-000049,2025-06-16,00:07,Chloé Robert,MACH-01,3,OP1005,montée thermique progressive,nuit,1,0,0,0,0,0,0,0,0
INC-000050,2025-06-16,00:50,Antoine Moreau,MACH-01,3,OP1007,surchauffe capteur thermique,nuit,1,0,0,0,0,0,0,0,0
INC-000051,2025-06-16,01:43,Enzo Durand,MACH-05,4,OP1008,alarme capteur + arrêt ligne,nuit,0,0,0,0,0,0,1,1,0
INC-000052,2025-06-16,17:35,Camille Martin,MACH-08,3,OP1001,alarme capteur,apres-midi,0,0,0,0,0,0,1,0,0
INC-000053,2025-06-16,21:17,Emma Dubois,MACH-05,3,OP1003,vibration excessive,apres-midi,0,0,1,0,0,0,0,0,0
INC-000054,2025-06-16,21:24,Chloé Robert,MACH-05,3,OP1005,surconsommation électrique,apres-midi,0,0,0,0,1,0,0,0,0
INC-000055,2025-06-17,00:07,Nathan Richard,MACH-01,4,OP1006,chauffe anormale + arrêt ligne,nuit,1,0,0,0,0,0,0,1,0
INC-000056,2025-06-19,13:22,Sarah Leroy,MACH-15,3,OP1009,défaut qualité pièces,matin,0,0,0,0,0,0,0,0,1
INC-000057,2025-06-20,06:53,Lina Petit,MACH-15,3,OP1007,défaut qualité pièces constaté,matin,0,0,0,0,0,0,0,0,1
INC-000058,2025-06-20,23:25,Emma Dubois,MACH-12,2,OP1003,alarme capteur,nuit,0,0,0,0,0,0,1,0,0
INC-000059,2025-06-21,08:07,Camille Martin,MACH-11,3,OP1001,alarme capteur,matin,0,0,0,0,0,0,1,0,0
INC-000060,2025-06-21,10:38,Nathan Richard,MACH-12,2,OP1006,vibration excessive,matin,0,0,1,0,0,0,0,0,0
INC-000061,2025-06-21,20:55,Hugo Thomas,MACH-05,3,OP1004,alarme capteur,apres-midi,0,0,0,0,0,0,1,0,0
INC-000062,2025-06-22,00:14,Hugo Thomas,MACH-06,2,OP1004,circuit hydraulique en défaut,nuit,0,1,0,0,0,0,0,0,0
INC-000063,2025-06-22,04:50,Chloé Robert,MACH-09,2,OP1005,surconsommation électrique,nuit,0,0,0,0,1,0,0,0,0
INC-000064,2025-06-22,12:16,Lina Petit,MACH-05,3,OP1007,bruit mécanique anormal,matin,0,0,0,1,0,0,0,0,0
INC-000065,2025-06-22,15:26,Sarah Leroy,MACH-15,2,OP1009,température anormalement élevée,apres-midi,1,0,0,0,0,0,0,0,0
INC-000066,2025-06-22,19:31,Jules Moreau,MACH-13,3,OP1010,vibration excessive,apres-midi,0,0,1,0,0,0,0,0,0
INC-000067,2025-06-22,20:15,Lucas Bernard,MACH-08,3,OP1002,micro-fuite / baisse pression,apres-midi,0,1,0,0,0,0,0,0,0
INC-000068,2025-06-23,00:14,Sophie Leclerc,MACH-06,3,OP1006,pression en dessous seuil critique,nuit,0,1,0,0,0,0,0,0,0
INC-000069,2025-06-23,23:16,Lina Petit,MACH-13,3,OP1007,vibration excessive,nuit,0,0,1,0,0,0,0,0,0
INC-000070,2025-06-24,00:14,Emma Dubois,MACH-06,4,OP1003,micro-fuite / baisse pression,nuit,0,1,0,0,0,0,0,0,0
INC-000071,2025-06-24,01:51,Lucas Bernard,MACH-06,2,OP1002,pièces hors tolérance — contrôle qualité,nuit,0,0,0,0,0,0,0,0,1
INC-000072,2025-06-24,09:57,Camille Martin,MACH-06,3,OP1001,micro-fuite / baisse pression,matin,0,1,0,0,0,0,0,0,0
INC-000073,2025-06-25,01:51,Marie Dupont,MACH-06,3,OP1001,pièces hors tolérance — contrôle qualité,nuit,0,0,0,0,0,0,0,0,1
INC-000074,2025-06-25,05:43,Lucas Bernard,MACH-03,3,OP1002,chauffe anormale,nuit,1,0,0,0,0,0,0,0,0
INC-000075,2025-06-25,10:09,Sophie Leclerc,MACH-12,2,OP1006,vibration anormale roulement,matin,0,0,1,0,0,0,0,0,0
INC-000076,2025-06-25,10:21,Chloé Robert,MACH-03,2,OP1005,surchauffe capteur thermique,matin,1,0,0,0,0,0,0,0,0
INC-000077,2025-06-25,10:48,Pierre Martin,MACH-03,3,OP1003,surchauffe capteur thermique,matin,1,0,0,0,0,0,0,0,0
INC-000078,2025-06-25,14:47,Antoine Moreau,MACH-15,2,OP1007,perte intermittente signal mesure,apres-midi,0,0,0,0,0,0,1,0,0
INC-000079,2025-06-25,14:48,Pierre Martin,MACH-15,2,OP1003,alarme capteur active,apres-midi,0,0,0,0,0,0,1,0,0
INC-000080,2025-06-25,17:55,Lucas Bernard,MACH-09,3,OP1002,alarme capteur,apres-midi,0,0,0,0,0,0,1,0,0
INC-000081,2025-06-26,00:07,Enzo Durand,MACH-15,2,OP1008,alarme capteur,nuit,0,0,0,0,0,0,1,0,0
INC-000082,2025-06-26,01:51,Chloé Robert,MACH-06,4,OP1005,défaut qualité pièces,nuit,0,0,0,0,0,0,0,0,1
INC-000083,2025-06-26,10:04,Hugo Thomas,MACH-03,3,OP1004,alerte température haute,matin,1,0,0,0,0,0,0,0,0
INC-000084,2025-06-26,10:09,Antoine Moreau,MACH-12,3,OP1007,vibrations excessives détectées,matin,0,0,1,0,0,0,0,0,0
INC-000085,2025-06-26,10:21,Marie Dupont,MACH-03,3,OP1001,température anormalement élevée,matin,1,0,0,0,0,0,0,0,0
INC-000086,2025-06-26,14:28,Marie Dupont,MACH-15,3,OP1001,défaut capteur confirmé,apres-midi,0,0,0,0,0,0,1,0,0
INC-000087,2025-06-26,14:48,Sophie Leclerc,MACH-15,3,OP1006,perte intermittente signal mesure,apres-midi,0,0,0,0,0,0,1,0,0
INC-000088,2025-06-27,10:09,Nathan Richard,MACH-12,4,OP1006,vibration excessive,matin,0,0,1,0,0,0,0,0,0
INC-000089,2025-06-27,10:21,Sarah Leroy,MACH-03,5,OP1009,chauffe anormale,matin,1,0,0,0,0,0,0,0,0
INC-000090,2025-06-27,13:11,Lina Petit,MACH-03,3,OP1007,surconsommation électrique,matin,0,0,0,0,1,0,0,0,0
INC-000091,2025-06-27,14:48,Emma Dubois,MACH-15,4,OP1003,alarme capteur + arrêt ligne,apres-midi,0,0,0,0,0,0,1,1,0
INC-000092,2025-06-30,07:53,Julie Petit,MACH-10,2,OP1008,micro-fuite détectée — chute pression,matin,0,1,0,0,0,0,0,0,0
INC-000093,2025-07-01,07:19,Camille Martin,MACH-09,3,OP1001,alarme capteur,matin,0,0,0,0,0,0,1,0,0
INC-000094,2025-07-01,07:53,Chloé Robert,MACH-10,3,OP1005,circuit hydraulique en défaut,matin,0,1,0,0,0,0,0,0,0
INC-000095,2025-07-01,16:18,Enzo Durand,MACH-05,3,OP1008,défaut qualité pièces,apres-midi,0,0,0,0,0,0,0,0,1
INC-000096,2025-07-01,20:53,Enzo Durand,MACH-08,3,OP1008,défaut qualité pièces,apres-midi,0,0,0,0,0,0,0,0,1
INC-000097,2025-07-02,06:33,Marie Dupont,MACH-13,2,OP1001,pic courant anormal moteur,matin,0,0,0,0,1,0,0,0,0
INC-000098,2025-07-02,07:53,Chloé Robert,MACH-10,4,OP1005,micro-fuite / baisse pression,matin,0,1,0,0,0,0,0,0,0
INC-000099,2025-07-02,16:53,Sarah Leroy,MACH-08,2,OP1009,bruit mécanique anormal,apres-midi,0,0,0,1,0,0,0,0,0
INC-000100,2025-07-02,21:35,Enzo Durand,MACH-04,2,OP1008,bruit mécanique anormal,apres-midi,0,0,0,1,0,0,0,0,0
INC-000101,2025-07-03,06:09,Camille Martin,MACH-10,2,OP1001,vibration excessive,matin,0,0,1,0,0,0,0,0,0
INC-000102,2025-07-03,06:10,Marie Dupont,MACH-13,3,OP1001,surconsommation électrique constatée,matin,0,0,0,0,1,0,0,0,0
INC-000103,2025-07-03,06:33,Julie Petit,MACH-13,3,OP1008,pic courant anormal moteur,matin,0,0,0,0,1,0,0,0,0
INC-000104,2025-07-03,23:04,Lucas Bernard,MACH-03,2,OP1002,pic courant anormal moteur,nuit,0,0,0,0,1,0,0,0,0
INC-000105,2025-07-03,23:17,Lucas Bernard,MACH-03,3,OP1002,consommation hors plage nominale,nuit,0,0,0,0,1,0,0,0,0
INC-000106,2025-07-04,06:33,Lucas Bernard,MACH-13,4,OP1002,surconsommation électrique,matin,0,0,0,0,1,0,0,0,0
INC-000107,2025-07-04,14:09,Antoine Moreau,MACH-03,3,OP1007,échauffement bobinage moteur,apres-midi,0,0,0,0,1,0,0,0,0
INC-000108,2025-07-04,14:10,Marie Dupont,MACH-03,2,OP1001,surconsommation électrique constatée,apres-midi,0,0,0,0,1,0,0,0,0
INC-000109,2025-07-04,18:26,Hugo Thomas,MACH-09,3,OP1004,alarme capteur,apres-midi,0,0,0,0,0,0,1,0,0
INC-000110,2025-07-04,23:04,Antoine Moreau,MACH-03,3,OP1007,surconsommation électrique constatée,nuit,0,0,0,0,1,0,0,0,0
INC-000111,2025-07-04,23:07,Julie Petit,MACH-03,3,OP1008,surconsommation électrique constatée,nuit,0,0,0,0,1,0,0,0,0
INC-000112,2025-07-05,01:31,Lina Petit,MACH-11,3,OP1007,défaut qualité pièces,nuit,0,0,0,0,0,0,0,0,1
INC-000113,2025-07-05,14:02,Chloé Robert,MACH-03,3,OP1005,consommation hors plage nominale,apres-midi,0,0,0,0,1,0,0,0,0
INC-000114,2025-07-05,14:10,Sophie Leclerc,MACH-03,3,OP1006,pic courant anormal moteur,apres-midi,0,0,0,0,1,0,0,0,0
INC-000115,2025-07-05,15:25,Chloé Robert,MACH-03,2,OP1005,baisse pression hydraulique,apres-midi,0,1,0,0,0,0,0,0,0
INC-000116,2025-07-05,15:41,Hugo Thomas,MACH-03,3,OP1004,circuit hydraulique en défaut,apres-midi,0,1,0,0,0,0,0,0,0
INC-000117,2025-07-05,23:04,Sarah Leroy,MACH-03,5,OP1009,pic courant anormal moteur,nuit,0,0,0,0,1,0,0,0,0
INC-000118,2025-07-06,11:12,Nathan Richard,MACH-02,2,OP1006,défaut qualité pièces,matin,0,0,0,0,0,0,0,0,1
INC-000119,2025-07-06,14:10,Chloé Robert,MACH-03,5,OP1005,surconsommation électrique,apres-midi,0,0,0,0,1,0,0,0,0
INC-000120,2025-07-06,15:25,Pierre Martin,MACH-03,3,OP1003,micro-fuite détectée — chute pression,apres-midi,0,1,0,0,0,0,0,0,0
INC-000121,2025-07-06,15:48,Sophie Leclerc,MACH-03,3,OP1006,pression en dessous seuil critique,apres-midi,0,1,0,0,0,0,0,0,0
INC-000122,2025-07-06,23:30,Julie Petit,MACH-06,2,OP1008,non-conformité dimensionnelle,nuit,0,0,0,0,0,0,0,0,1
INC-000123,2025-07-07,12:04,Lucas Bernard,MACH-05,3,OP1002,vibration excessive,matin,0,0,1,0,0,0,0,0,0
INC-000124,2025-07-07,15:25,Nathan Richard,MACH-03,5,OP1006,micro-fuite / baisse pression,apres-midi,0,1,0,0,0,0,0,0,0
INC-000125,2025-07-07,23:30,Hugo Thomas,MACH-06,3,OP1004,pièces hors tolérance — contrôle qualité,nuit,0,0,0,0,0,0,0,0,1
INC-000126,2025-07-08,05:29,Sophie Leclerc,MACH-03,2,OP1006,chute taux de production anormale,nuit,0,0,0,0,0,0,0,0,1
INC-000127,2025-07-08,05:34,Lucas Bernard,MACH-03,3,OP1002,pièces hors tolérance — contrôle qualité,nuit,0,0,0,0,0,0,0,0,1
INC-000128,2025-07-08,19:46,Antoine Moreau,MACH-02,2,OP1007,circuit hydraulique en défaut,apres-midi,0,1,0,0,0,0,0,0,0
INC-000129,2025-07-08,23:30,Lucas Bernard,MACH-06,4,OP1002,défaut qualité pièces,nuit,0,0,0,0,0,0,0,0,1
INC-000130,2025-07-09,04:31,Antoine Moreau,MACH-13,2,OP1007,pic courant anormal moteur,nuit,0,0,0,0,1,0,0,0,0
INC-000131,2025-07-09,04:39,Sophie Leclerc,MACH-13,3,OP1006,échauffement bobinage moteur,nuit,0,0,0,0,1,0,0,0,0
INC-000132,2025-07-09,05:29,Lucas Bernard,MACH-03,3,OP1002,non-conformité dimensionnelle,nuit,0,0,0,0,0,0,0,0,1
INC-000133,2025-07-09,05:46,Marie Dupont,MACH-03,3,OP1001,pièces hors tolérance — contrôle qualité,nuit,0,0,0,0,0,0,0,0,1
INC-000134,2025-07-09,07:23,Enzo Durand,MACH-10,2,OP1008,surconsommation électrique,matin,0,0,0,0,1,0,0,0,0
INC-000135,2025-07-09,09:03,Hugo Thomas,MACH-10,2,OP1004,montée thermique progressive,matin,1,0,0,0,0,0,0,0,0
INC-000136,2025-07-09,09:48,Chloé Robert,MACH-10,2,OP1005,surchauffe capteur thermique,matin,1,0,0,0,0,0,0,0,0
INC-000137,2025-07-09,19:46,Marie Dupont,MACH-02,3,OP1001,circuit hydraulique en défaut,apres-midi,0,1,0,0,0,0,0,0,0
INC-000138,2025-07-09,22:19,Jules Moreau,MACH-05,3,OP1010,défaut qualité pièces,nuit,0,0,0,0,0,0,0,0,1
INC-000139,2025-07-10,04:31,Julie Petit,MACH-13,3,OP1008,pic courant anormal moteur,nuit,0,0,0,0,1,0,0,0,0
INC-000140,2025-07-10,04:57,Antoine Moreau,MACH-13,3,OP1007,surconsommation électrique constatée,nuit,0,0,0,0,1,0,0,0,0
INC-000141,2025-07-10,05:29,Lina Petit,MACH-03,5,OP1007,défaut qualité pièces,nuit,0,0,0,0,0,0,0,0,1
INC-000142,2025-07-10,08:42,Nathan Richard,MACH-08,3,OP1006,défaut qualité pièces,matin,0,0,0,0,0,0,0,0,1
INC-000143,2025-07-10,09:03,Sophie Leclerc,MACH-10,3,OP1006,température anormalement élevée,matin,1,0,0,0,0,0,0,0,0
INC-000144,2025-07-10,09:50,Marie Dupont,MACH-10,3,OP1001,température anormalement élevée,matin,1,0,0,0,0,0,0,0,0
INC-000145,2025-07-10,19:46,Emma Dubois,MACH-02,4,OP1003,micro-fuite / baisse pression,apres-midi,0,1,0,0,0,0,0,0,0
INC-000146,2025-07-10,21:49,Hugo Thomas,MACH-12,3,OP1004,défaut qualité pièces,apres-midi,0,0,0,0,0,0,0,0,1
INC-000147,2025-07-11,04:31,Jules Moreau,MACH-13,4,OP1010,surconsommation électrique,nuit,0,0,0,0,1,0,0,0,0
INC-000148,2025-07-11,09:03,Enzo Durand,MACH-10,4,OP1008,chauffe anormale + arrêt ligne,matin,1,0,0,0,0,0,0,1,0
INC-000149,2025-07-12,03:51,Antoine Moreau,MACH-12,2,OP1007,bruit mécanique anormal,nuit,0,0,0,1,0,0,0,0,0
INC-000150,2025-07-13,03:51,Antoine Moreau,MACH-12,3,OP1007,bruit mécanique anormal,nuit,0,0,0,1,0,0,0,0,0
INC-000151,2025-07-13,20:11,Enzo Durand,MACH-04,3,OP1008,alarme capteur,apres-midi,0,0,0,0,0,0,1,0,0
INC-000152,2025-07-14,03:51,Lucas Bernard,MACH-12,4,OP1002,bruit mécanique anormal,nuit,0,0,0,1,0,0,0,0,0
INC-000153,2025-07-15,01:14,Lucas Bernard,MACH-08,3,OP1002,chauffe anormale,nuit,1,0,0,0,0,0,0,0,0
INC-000154,2025-07-15,02:13,Hugo Thomas,MACH-03,3,OP1004,surconsommation électrique,nuit,0,0,0,0,1,0,0,0,0
INC-000155,2025-07-15,05:15,Lucas Bernard,MACH-13,3,OP1002,surconsommation électrique,nuit,0,0,0,0,1,0,0,0,0
INC-000156,2025-07-15,09:55,Antoine Moreau,MACH-09,2,OP1007,choc sur transmission,matin,0,0,0,1,0,0,0,0,0
INC-000157,2025-07-15,22:37,Hugo Thomas,MACH-08,2,OP1004,surconsommation électrique,nuit,0,0,0,0,1,0,0,0,0
INC-000158,2025-07-16,09:55,Antoine Moreau,MACH-09,3,OP1007,frottement mécanique cyclique,matin,0,0,0,1,0,0,0,0,0
INC-000159,2025-07-16,16:03,Marie Dupont,MACH-09,2,OP1001,perte intermittente signal mesure,apres-midi,0,0,0,0,0,0,1,0,0
INC-000160,2025-07-17,08:33,Jules Moreau,MACH-10,3,OP1010,vibration excessive,matin,0,0,1,0,0,0,0,0,0
INC-000161,2025-07-17,09:55,Camille Martin,MACH-09,5,OP1001,bruit mécanique anormal,matin,0,0,0,1,0,0,0,0,0
INC-000162,2025-07-17,16:03,Chloé Robert,MACH-09,3,OP1005,défaut capteur confirmé,apres-midi,0,0,0,0,0,0,1,0,0
INC-000163,2025-07-18,06:53,Pierre Martin,MACH-02,2,OP1003,non-conformité dimensionnelle,matin,0,0,0,0,0,0,0,0,1
INC-000164,2025-07-18,10:24,Nathan Richard,MACH-11,3,OP1006,alarme capteur,matin,0,0,0,0,0,0,1,0,0
INC-000165,2025-07-18,14:17,Hugo Thomas,MACH-05,2,OP1004,chauffe anormale,apres-midi,1,0,0,0,0,0,0,0,0
INC-000166,2025-07-18,16:03,Lina Petit,MACH-09,5,OP1007,alarme capteur,apres-midi,0,0,0,0,0,0,1,0,0
INC-000167,2025-07-19,06:53,Pierre Martin,MACH-02,3,OP1003,chute taux de production anormale,matin,0,0,0,0,0,0,0,0,1
INC-000168,2025-07-19,13:06,Lucas Bernard,MACH-13,2,OP1002,surconsommation électrique constatée,matin,0,0,0,0,1,0,0,0,0
INC-000169,2025-07-20,06:53,Chloé Robert,MACH-02,4,OP1005,défaut qualité pièces,matin,0,0,0,0,0,0,0,0,1
INC-000170,2025-07-20,08:30,Nathan Richard,MACH-03,3,OP1006,surconsommation électrique,matin,0,0,0,0,1,0,0,0,0
INC-000171,2025-07-20,13:06,Hugo Thomas,MACH-13,3,OP1004,surconsommation électrique constatée,matin,0,0,0,0,1,0,0,0,0
INC-000172,2025-07-20,13:51,Sophie Leclerc,MACH-13,3,OP1006,consommation hors plage nominale,matin,0,0,0,0,1,0,0,0,0
INC-000173,2025-07-20,18:07,Marie Dupont,MACH-05,2,OP1001,consommation hors plage nominale,apres-midi,0,0,0,0,1,0,0,0,0
INC-000174,2025-07-20,22:24,Antoine Moreau,MACH-06,2,OP1007,consommation hors plage nominale,nuit,0,0,0,0,1,0,0,0,0
INC-000175,2025-07-21,11:06,Jules Moreau,MACH-01,3,OP1010,vibration excessive,matin,0,0,1,0,0,0,0,0,0
INC-000176,2025-07-21,13:06,Camille Martin,MACH-13,4,OP1001,surconsommation électrique,matin,0,0,0,0,1,0,0,0,0
INC-000177,2025-07-21,18:07,Sophie Leclerc,MACH-05,3,OP1006,pic courant anormal moteur,apres-midi,0,0,0,0,1,0,0,0,0
INC-000178,2025-07-21,22:24,Lucas Bernard,MACH-06,3,OP1002,échauffement bobinage moteur,nuit,0,0,0,0,1,0,0,0,0
INC-000179,2025-07-22,12:52,Pierre Martin,MACH-01,2,OP1003,perte intermittente signal mesure,matin,0,0,0,0,0,0,1,0,0
INC-000180,2025-07-22,18:07,Nathan Richard,MACH-05,5,OP1006,surconsommation électrique,apres-midi,0,0,0,0,1,0,0,0,0
INC-000181,2025-07-22,20:56,Lucas Bernard,MACH-10,2,OP1002,micro-fuite détectée — chute pression,apres-midi,0,1,0,0,0,0,0,0,0
INC-000182,2025-07-22,21:03,Lucas Bernard,MACH-04,3,OP1002,surconsommation électrique,apres-midi,0,0,0,0,1,0,0,0,0
INC-000183,2025-07-22,22:24,Emma Dubois,MACH-06,4,OP1003,surconsommation électrique,nuit,0,0,0,0,1,0,0,0,0
INC-000184,2025-07-22,23:53,Lucas Bernard,MACH-07,3,OP1002,micro-fuite / baisse pression,nuit,0,1,0,0,0,0,0,0,0
INC-000185,2025-07-23,02:19,Pierre Martin,MACH-13,2,OP1003,alarme capteur active,nuit,0,0,0,0,0,0,1,0,0
INC-000186,2025-07-23,02:40,Marie Dupont,MACH-13,3,OP1001,signal capteur hors plage,nuit,0,0,0,0,0,0,1,0,0
INC-000187,2025-07-23,12:06,Chloé Robert,MACH-01,3,OP1005,défaut capteur confirmé,matin,0,0,0,0,0,0,1,0,0
INC-000188,2025-07-23,12:52,Pierre Martin,MACH-01,3,OP1003,perte intermittente signal mesure,matin,0,0,0,0,0,0,1,0,0
INC-000189,2025-07-23,20:56,Antoine Moreau,MACH-10,3,OP1007,pression en dessous seuil critique,apres-midi,0,1,0,0,0,0,0,0,0
INC-000190,2025-07-24,02:19,Chloé Robert,MACH-13,3,OP1005,signal capteur hors plage,nuit,0,0,0,0,0,0,1,0,0
INC-000191,2025-07-24,02:48,Julie Petit,MACH-13,3,OP1008,signal capteur hors plage,nuit,0,0,0,0,0,0,1,0,0
INC-000192,2025-07-24,08:49,Camille Martin,MACH-03,3,OP1001,bruit mécanique anormal,matin,0,0,0,1,0,0,0,0,0
INC-000193,2025-07-24,11:46,Lina Petit,MACH-05,3,OP1007,défaut qualité pièces,matin,0,0,0,0,0,0,0,0,1
